"Country","Decade","Year","Population"
"senegal","2010","2013","14221041"
"singapore","2010","2013","5399200"
"solomon islands","2010","2013","560685"
"sierra leone","2010","2013","6178859"
"el salvador","2010","2013","6089644"
"san marino","2010","2013","31391"
"somalia","2010","2013","10268157"
"serbia","2010","2013","7164132"
"south sudan","2010","2013","11453810"
"sao tome and principe","2010","2013","182386"
"suriname","2010","2013","533450"
"slovak republic","2010","2013","5413393"
"slovenia","2010","2013","2059953"
"sweden","2010","2013","9600379"
"swaziland","2010","2013","1250641"
"sint maarten (dutch part)","2010","2013","36607"
"seychelles","2010","2013","89900"
"syrian arab republic","2010","2013","21789415"
"turks and caicos islands","2010","2013","33103"
"chad","2010","2013","13145788"
"togo","2010","2013","6928719"
"thailand","2010","2013","67451422"
"tajikistan","2010","2013","8111894"
"turkmenistan","2010","2013","5240088"
"timor-leste","2010","2013","1180069"
"tonga","2010","2013","105139"
"trinidad and tobago","2010","2013","1348240"
"tunisia","2010","2013","10886500"
"turkey","2010","2013","75010202"
"tuvalu","2010","2013","9876"
"taiwan, china","2010","2013",NA
"tanzania","2010","2013","50213457"
"uganda","2010","2013","36573387"
"ukraine","2010","2013","45489600"
"uruguay","2010","2013","3407969"
"united states","2010","2013","316497531"
"uzbekistan","2010","2013","30243200"
"st. vincent and the grenadines","2010","2013","109327"
"venezuela, rb","2010","2013","30276045"
"virgin islands (u.s.)","2010","2013","104737"
"vietnam","2010","2013","89708900"
"vanuatu","2010","2013","253165"
"west bank and gaza","2010","2013","4169506"
"samoa","2010","2013","190390"
"yemen, rep.","2010","2013","25533217"
"south africa","2010","2013","53157490"
"congo, dem. rep.","2010","2013","72552861"
"zambia","2010","2013","15246086"
"zimbabwe","2010","2013","14898092"
"aruba","2010","2012","102393"
"andorra","2010","2012","79316"
"afghanistan","2010","2012","29726803"
"angola","2010","2012","22685632"
"albania","2010","2012","2900489"
"united arab emirates","2010","2012","8952542"
"argentina","2010","2012","42095224"
"armenia","2010","2012","2978339"
"american samoa","2010","2012","55227"
"antigua and barbuda","2010","2012","89069"
"australia","2010","2012","22728254"
"austria","2010","2012","8429991"
"azerbaijan","2010","2012","9295784"
"burundi","2010","2012","10124572"
"belgium","2010","2012","11128246"
"benin","2010","2012","10049792"
"burkina faso","2010","2012","16590813"
"bangladesh","2010","2012","155257387"
"bulgaria","2010","2012","7305888"
"bahrain","2010","2012","1333577"
"bahamas, the","2010","2012","372388"
"bosnia and herzegovina","2010","2012","3828419"
"belarus","2010","2012","9464000"
"belize","2010","2012","336707"
"bermuda","2010","2012","64798"
"bolivia","2010","2012","10238762"
"brazil","2010","2012","202401584"
"barbados","2010","2012","281580"
"brunei darussalam","2010","2012","405512"
"bhutan","2010","2012","743711"
"botswana","2010","2012","2132822"
"central african republic","2010","2012","4619500"
"canada","2010","2012","34754312"
"switzerland","2010","2012","7996861"
"channel islands","2010","2012","161336"
"chile","2010","2012","17388437"
"china","2010","2012","1350695000"
"cote d'ivoire","2010","2012","21102641"
"cameroon","2010","2012","21659488"
"congo, rep.","2010","2012","4286188"
"colombia","2010","2012","46881018"
"comoros","2010","2012","733661"
"cabo verde","2010","2012","500870"
"costa rica","2010","2012","4654148"
"cuba","2010","2012","11342631"
"curacao","2010","2012","152088"
"cayman islands","2010","2012","57522"
"cyprus","2010","2012","1129303"
"czech republic","2010","2012","10510785"
"germany","2010","2012","80425823"
"djibouti","2010","2012","853069"
"dominica","2010","2012","71685"
"denmark","2010","2012","5591572"
"dominican republic","2010","2012","10155036"
"algeria","2010","2012","37439427"
"ecuador","2010","2012","15419493"
"egypt, arab rep.","2010","2012","85660902"
"eritrea","2010","2012","4892233"
"spain","2010","2012","46773055"
"estonia","2010","2012","1322696"
"ethiopia","2010","2012","92191211"
"finland","2010","2012","5413971"
"fiji","2010","2012","874158"
"france","2010","2012","65639975"
"faeroe islands","2010","2012","48393"
"micronesia, fed. sts.","2010","2012","103516"
"gabon","2010","2012","1613489"
"united kingdom","2010","2012","63700300"
"georgia","2010","2012","4490700"
"ghana","2010","2012","25544565"
"guinea","2010","2012","11628767"
"gambia, the","2010","2012","1807108"
"guinea-bissau","2010","2012","1714620"
"equatorial guinea","2010","2012","773729"
"greece","2010","2012","11092771"
"grenada","2010","2012","105476"
"greenland","2010","2012","56810"
"guatemala","2010","2012","15368759"
"guam","2010","2012","162807"
"guyana","2010","2012","758410"
"hong kong sar, china","2010","2012","7154600"
"honduras","2010","2012","7736131"
"croatia","2010","2012","4267558"
"haiti","2010","2012","10288828"
"hungary","2010","2012","9920362"
"indonesia","2010","2012","248037853"
"isle of man","2010","2012","85779"
"india","2010","2012","1263589639"
"ireland","2010","2012","4586897"
"iran, islamic rep.","2010","2012","76156975"
"iraq","2010","2012","32780975"
"iceland","2010","2012","320716"
"israel","2010","2012","7910500"
"italy","2010","2012","59539717"
"jamaica","2010","2012","2707805"
"jordan","2010","2012","6318000"
"japan","2010","2012","127561489"
"kazakhstan","2010","2012","16791425"
"kenya","2010","2012","42542978"
"kyrgyz republic","2010","2012","5607200"
"cambodia","2010","2012","14832255"
"kiribati","2010","2012","106620"
"st. kitts and nevis","2010","2012","53650"
"korea, rep.","2010","2012","50004441"
"kosovo","2010","2012","1805200"
"kuwait","2010","2012","3419581"
"lao pdr","2010","2012","6473050"
"lebanon","2010","2012","4440728"
"liberia","2010","2012","4190155"
"libya","2010","2012","6283403"
"st. lucia","2010","2012","180890"
"liechtenstein","2010","2012","36791"
"sri lanka","2010","2012","20328000"
"lesotho","2010","2012","2057331"
"lithuania","2010","2012","2987773"
"luxembourg","2010","2012","530946"
"latvia","2010","2012","2034319"
"macao sar, china","2010","2012","557763"
"st. martin (french part)","2010","2012","30959"
"morocco","2010","2012","32984190"
"monaco","2010","2012","37404"
"moldova","2010","2012","3559519"
"madagascar","2010","2012","22293720"
"maldives","2010","2012","344817"
"mexico","2010","2012","122070963"
"marshall islands","2010","2012","52663"
"macedonia, fyr","2010","2012","2069270"
"mali","2010","2012","16112333"
"malta","2010","2012","419455"
"myanmar","2010","2012","52543841"
"montenegro","2010","2012","620601"
"mongolia","2010","2012","2808339"
"northern mariana islands","2010","2012","53314"
"mozambique","2010","2012","25732928"
"mauritania","2010","2012","3777067"
"mauritius","2010","2012","1255882"
"malawi","2010","2012","15700436"
"malaysia","2010","2012","29021940"
"namibia","2010","2012","2291645"
"new caledonia","2010","2012","258000"
"niger","2010","2012","17635782"
"nigeria","2010","2012","168240403"
"nicaragua","2010","2012","5877034"
"netherlands","2010","2012","16754962"
"norway","2010","2012","5018573"
"nepal","2010","2012","27500515"
"new zealand","2010","2012","4408100"
"oman","2010","2012","3545192"
"pakistan","2010","2012","177392252"
"panama","2010","2012","3743761"
"peru","2010","2012","30158768"
"philippines","2010","2012","96017322"
"palau","2010","2012","20756"
"papua new guinea","2010","2012","7154870"
"poland","2010","2012","38063164"
"puerto rico","2010","2012","3642281"
"korea, dem. rep.","2010","2012","24763353"
"portugal","2010","2012","10514844"
"paraguay","2010","2012","6379162"
"french polynesia","2010","2012","273775"
"qatar","2010","2012","2015624"
"romania","2010","2012","20058035"
"russian federation","2010","2012","143201676"
"rwanda","2010","2012","10817350"
"saudi arabia","2010","2012","29496047"
"sudan","2010","2012","37712420"
"senegal","2010","2012","13780108"
"singapore","2010","2012","5312400"
"solomon islands","2010","2012","549162"
"sierra leone","2010","2012","6043157"
"el salvador","2010","2012","6072233"
"san marino","2010","2012","31172"
"somalia","2010","2012","10033630"
"serbia","2010","2012","7199077"
"south sudan","2010","2012","10980623"
"sao tome and principe","2010","2012","178484"
"suriname","2010","2012","528535"
"slovak republic","2010","2012","5407579"
"slovenia","2010","2012","2057159"
"sweden","2010","2012","9519374"
"swaziland","2010","2012","1231694"
"sint maarten (dutch part)","2010","2012","34640"
"seychelles","2010","2012","88303"
"syrian arab republic","2010","2012","21427155"
"turks and caicos islands","2010","2012","32430"
"chad","2010","2012","12715465"
"togo","2010","2012","6745581"
"thailand","2010","2012","67164130"
"tajikistan","2010","2012","7930929"
"turkmenistan","2010","2012","5172941"
"timor-leste","2010","2012","1148958"
"tonga","2010","2012","104769"
"trinidad and tobago","2010","2012","1341579"
"tunisia","2010","2012","10777500"
"turkey","2010","2012","74099255"
"tuvalu","2010","2012","9860"
"taiwan, china","2010","2012",NA
"tanzania","2010","2012","48645709"
"uganda","2010","2012","35400620"
"ukraine","2010","2012","45593300"
"uruguay","2010","2012","3396753"
"united states","2010","2012","314112078"
"uzbekistan","2010","2012","29774500"
"st. vincent and the grenadines","2010","2012","109334"
"venezuela, rb","2010","2012","29854238"
"virgin islands (u.s.)","2010","2012","105275"
"vietnam","2010","2012","88772900"
"vanuatu","2010","2012","247498"
"west bank and gaza","2010","2012","4046901"
"samoa","2010","2012","188901"
"yemen, rep.","2010","2012","24882792"
"south africa","2010","2012","52341695"
"congo, dem. rep.","2010","2012","70291160"
"zambia","2010","2012","14786581"
"zimbabwe","2010","2012","14565482"
"aruba","2010","2011","101936"
"andorra","2010","2011","82326"
"afghanistan","2010","2011","28809167"
"angola","2010","2011","21942296"
"albania","2010","2011","2904780"
"united arab emirates","2010","2011","8734722"
"argentina","2010","2011","41655616"
"armenia","2010","2011","2967984"
"american samoa","2010","2011","55316"
"antigua and barbuda","2010","2011","88152"
"australia","2010","2011","22340024"
"austria","2010","2011","8391643"
"azerbaijan","2010","2011","9173082"
"burundi","2010","2011","9790151"
"belgium","2010","2011","11047744"
"benin","2010","2011","9779391"
"burkina faso","2010","2011","16106851"
"bangladesh","2010","2011","153405612"
"bulgaria","2010","2011","7348328"
"bahrain","2010","2011","1306014"
"bahamas, the","2010","2011","366711"
"bosnia and herzegovina","2010","2011","3832310"
"belarus","2010","2011","9473000"
"belize","2010","2011","329193"
"bermuda","2010","2011","64564"
"bolivia","2010","2011","10078238"
"brazil","2010","2011","200517584"
"barbados","2010","2011","280602"
"brunei darussalam","2010","2011","399443"
"bhutan","2010","2011","732246"
"botswana","2010","2011","2089706"
"central african republic","2010","2011","4530903"
"canada","2010","2011","34342780"
"switzerland","2010","2011","7912398"
"channel islands","2010","2011","160489"
"chile","2010","2011","17201305"
"china","2010","2011","1344130000"
"cote d'ivoire","2010","2011","20604172"
"cameroon","2010","2011","21119065"
"congo, rep.","2010","2011","4177435"
"colombia","2010","2011","46406446"
"comoros","2010","2011","715972"
"cabo verde","2010","2011","495159"
"costa rica","2010","2011","4600487"
"cuba","2010","2011","11323570"
"curacao","2010","2011","150831"
"cayman islands","2010","2011","56580"
"cyprus","2010","2011","1116644"
"czech republic","2010","2011","10496088"
"germany","2010","2011","81797673"
"djibouti","2010","2011","841802"
"dominica","2010","2011","71402"
"denmark","2010","2011","5570572"
"dominican republic","2010","2011","10027140"
"algeria","2010","2011","36717132"
"ecuador","2010","2011","15177280"
"egypt, arab rep.","2010","2011","83787634"
"eritrea","2010","2011","4789568"
"spain","2010","2011","46742697"
"estonia","2010","2011","1327439"
"ethiopia","2010","2011","89858696"
"finland","2010","2011","5388272"
"fiji","2010","2011","867327"
"france","2010","2011","65342776"
"faeroe islands","2010","2011","48492"
"micronesia, fed. sts.","2010","2011","103476"
"gabon","2010","2011","1577298"
"united kingdom","2010","2011","63258918"
"georgia","2010","2011","4483350"
"ghana","2010","2011","24928503"
"guinea","2010","2011","11316351"
"gambia, the","2010","2011","1749099"
"guinea-bissau","2010","2011","1673509"
"equatorial guinea","2010","2011","750918"
"greece","2010","2011","11123213"
"grenada","2010","2011","105070"
"greenland","2010","2011","56890"
"guatemala","2010","2011","15049280"
"guam","2010","2011","160858"
"guyana","2010","2011","755883"
"hong kong sar, china","2010","2011","7071600"
"honduras","2010","2011","7621414"
"croatia","2010","2011","4280622"
"haiti","2010","2011","10144890"
"hungary","2010","2011","9971727"
"indonesia","2010","2011","244808254"
"isle of man","2010","2011","85069"
"india","2010","2011","1247446011"
"ireland","2010","2011","4576794"
"iran, islamic rep.","2010","2011","75184322"
"iraq","2010","2011","31810191"
"iceland","2010","2011","319014"
"israel","2010","2011","7765800"
"italy","2010","2011","59379449"
"jamaica","2010","2011","2699838"
"jordan","2010","2011","6181000"
"japan","2010","2011","127817277"
"kazakhstan","2010","2011","16556600"
"kenya","2010","2011","41419954"
"kyrgyz republic","2010","2011","5514600"
"cambodia","2010","2011","14593099"
"kiribati","2010","2011","104662"
"st. kitts and nevis","2010","2011","52998"
"korea, rep.","2010","2011","49779440"
"kosovo","2010","2011","1790957"
"kuwait","2010","2011","3239181"
"lao pdr","2010","2011","6366909"
"lebanon","2010","2011","4388637"
"liberia","2010","2011","4079574"
"libya","2010","2011","6288652"
"st. lucia","2010","2011","179278"
"liechtenstein","2010","2011","36537"
"sri lanka","2010","2011","20869000"
"lesotho","2010","2011","2032950"
"lithuania","2010","2011","3028115"
"luxembourg","2010","2011","518347"
"latvia","2010","2011","2059709"
"macao sar, china","2010","2011","546682"
"st. martin (french part)","2010","2011","30615"
"morocco","2010","2011","32531964"
"monaco","2010","2011","37189"
"moldova","2010","2011","3559986"
"madagascar","2010","2011","21678867"
"maldives","2010","2011","338618"
"mexico","2010","2011","120365271"
"marshall islands","2010","2011","52541"
"macedonia, fyr","2010","2011","2065888"
"mali","2010","2011","15639115"
"malta","2010","2011","416268"
"myanmar","2010","2011","52125411"
"montenegro","2010","2011","620079"
"mongolia","2010","2011","2759074"
"northern mariana islands","2010","2011","53234"
"mozambique","2010","2011","25016921"
"mauritania","2010","2011","3683221"
"mauritius","2010","2011","1252404"
"malawi","2010","2011","15226813"
"malaysia","2010","2011","28572970"
"namibia","2010","2011","2240161"
"new caledonia","2010","2011","254000"
"niger","2010","2011","16946485"
"nigeria","2010","2011","163770669"
"nicaragua","2010","2011","5807787"
"netherlands","2010","2011","16693074"
"norway","2010","2011","4953088"
"nepal","2010","2011","27179237"
"new zealand","2010","2011","4384000"
"oman","2010","2011","3210003"
"pakistan","2010","2011","173669648"
"panama","2010","2011","3681979"
"peru","2010","2011","29759891"
"philippines","2010","2011","94501233"
"palau","2010","2011","20606"
"papua new guinea","2010","2011","7001172"
"poland","2010","2011","38063255"
"puerto rico","2010","2011","3686771"
"korea, dem. rep.","2010","2011","24631359"
"portugal","2010","2011","10557560"
"paraguay","2010","2011","6293763"
"french polynesia","2010","2011","270862"
"qatar","2010","2011","1905437"
"romania","2010","2011","20147528"
"russian federation","2010","2011","142960868"
"rwanda","2010","2011","10556429"
"saudi arabia","2010","2011","28788438"
"sudan","2010","2011","36918193"
"senegal","2010","2011","13357003"
"singapore","2010","2011","5183700"
"solomon islands","2010","2011","537648"
"sierra leone","2010","2011","5908908"
"el salvador","2010","2011","6055208"
"san marino","2010","2011","30938"
"somalia","2010","2011","9806670"
"serbia","2010","2011","7234099"
"south sudan","2010","2011","10510122"
"sao tome and principe","2010","2011","174646"
"suriname","2010","2011","523439"
"slovak republic","2010","2011","5398384"
"slovenia","2010","2011","2052843"
"sweden","2010","2011","9449213"
"swaziland","2010","2011","1212458"
"sint maarten (dutch part)","2010","2011","33435"
"seychelles","2010","2011","87441"
"syrian arab republic","2010","2011","21070917"
"turks and caicos islands","2010","2011","31727"
"chad","2010","2011","12298512"
"togo","2010","2011","6566179"
"thailand","2010","2011","66902958"
"tajikistan","2010","2011","7753925"
"turkmenistan","2010","2011","5106672"
"timor-leste","2010","2011","1120392"
"tonga","2010","2011","104392"
"trinidad and tobago","2010","2011","1334790"
"tunisia","2010","2011","10673800"
"turkey","2010","2011","73199372"
"tuvalu","2010","2011","9844"
"taiwan, china","2010","2011",NA
"tanzania","2010","2011","47122998"
"uganda","2010","2011","34260342"
"ukraine","2010","2011","45706100"
"uruguay","2010","2011","3385610"
"united states","2010","2011","311721632"
"uzbekistan","2010","2011","29339400"
"st. vincent and the grenadines","2010","2011","109341"
"venezuela, rb","2010","2011","29427631"
"virgin islands (u.s.)","2010","2011","105784"
"vietnam","2010","2011","87840000"
"vanuatu","2010","2011","241876"
"west bank and gaza","2010","2011","3927051"
"samoa","2010","2011","187434"
"yemen, rep.","2010","2011","24234940"
"south africa","2010","2011","51553479"
"congo, dem. rep.","2010","2011","68087376"
"zambia","2010","2011","14343526"
"zimbabwe","2010","2011","14255592"
"aruba","2010","2010","101597"
"andorra","2010","2010","84419"
"afghanistan","2010","2010","27962207"
"angola","2010","2010","21219954"
"albania","2010","2010","2913021"
"united arab emirates","2010","2010","8329453"
"argentina","2010","2010","41222875"
"armenia","2010","2010","2963496"
"american samoa","2010","2010","55636"
"antigua and barbuda","2010","2010","87233"
"australia","2010","2010","22031750"
"austria","2010","2010","8363404"
"azerbaijan","2010","2010","9054332"
"burundi","2010","2010","9461117"
"belgium","2010","2010","10920272"
"benin","2010","2010","9509798"
"burkina faso","2010","2010","15632066"
"bangladesh","2010","2010","151616777"
"bulgaria","2010","2010","7395599"
"bahrain","2010","2010","1261319"
"bahamas, the","2010","2010","360830"
"bosnia and herzegovina","2010","2010","3835258"
"belarus","2010","2010","9490000"
"belize","2010","2010","321609"
"bermuda","2010","2010","65124"
"bolivia","2010","2010","9918245"
"brazil","2010","2010","198614208"
"barbados","2010","2010","279566"
"brunei darussalam","2010","2010","393302"
"bhutan","2010","2010","720246"
"botswana","2010","2010","2047831"
"central african republic","2010","2010","4444973"
"canada","2010","2010","34005274"
"switzerland","2010","2010","7824909"
"channel islands","2010","2010","159583"
"chile","2010","2010","17015048"
"china","2010","2010","1337705000"
"cote d'ivoire","2010","2010","20131707"
"cameroon","2010","2010","20590666"
"congo, rep.","2010","2010","4066078"
"colombia","2010","2010","45918101"
"comoros","2010","2010","698695"
"cabo verde","2010","2010","490379"
"costa rica","2010","2010","4545273"
"cuba","2010","2010","11308133"
"curacao","2010","2010","148703"
"cayman islands","2010","2010","55509"
"cyprus","2010","2010","1103685"
"czech republic","2010","2010","10474410"
"germany","2010","2010","81776930"
"djibouti","2010","2010","830802"
"dominica","2010","2010","71167"
"denmark","2010","2010","5547683"
"dominican republic","2010","2010","9897983"
"algeria","2010","2010","36036159"
"ecuador","2010","2010","14934692"
"egypt, arab rep.","2010","2010","82040994"
"eritrea","2010","2010","4689664"
"spain","2010","2010","46576897"
"estonia","2010","2010","1331475"
"ethiopia","2010","2010","87561814"
"finland","2010","2010","5363352"
"fiji","2010","2010","859952"
"france","2010","2010","65027512"
"faeroe islands","2010","2010","48567"
"micronesia, fed. sts.","2010","2010","103619"
"gabon","2010","2010","1541936"
"united kingdom","2010","2010","62766365"
"georgia","2010","2010","4452800"
"ghana","2010","2010","24317734"
"guinea","2010","2010","11012406"
"gambia, the","2010","2010","1693002"
"guinea-bissau","2010","2010","1634196"
"equatorial guinea","2010","2010","728710"
"greece","2010","2010","11153454"
"grenada","2010","2010","104677"
"greenland","2010","2010","56905"
"guatemala","2010","2010","14732261"
"guam","2010","2010","159440"
"guyana","2010","2010","753362"
"hong kong sar, china","2010","2010","7024200"
"honduras","2010","2010","7503875"
"croatia","2010","2010","4417781"
"haiti","2010","2010","9999617"
"hungary","2010","2010","10000023"
"indonesia","2010","2010","241613126"
"isle of man","2010","2010","84327"
"india","2010","2010","1230984504"
"ireland","2010","2010","4560155"
"iran, islamic rep.","2010","2010","74253373"
"iraq","2010","2010","30868156"
"iceland","2010","2010","318041"
"israel","2010","2010","7623600"
"italy","2010","2010","59277417"
"jamaica","2010","2010","2690824"
"jordan","2010","2010","6046000"
"japan","2010","2010","128070000"
"kazakhstan","2010","2010","16321581"
"kenya","2010","2010","40328313"
"kyrgyz republic","2010","2010","5447900"
"cambodia","2010","2010","14363586"
"kiribati","2010","2010","102648"
"st. kitts and nevis","2010","2010","52352"
"korea, rep.","2010","2010","49410366"
"kosovo","2010","2010","1775680"
"kuwait","2010","2010","3059473"
"lao pdr","2010","2010","6260544"
"lebanon","2010","2010","4337156"
"liberia","2010","2010","3957990"
"libya","2010","2010","6265697"
"st. lucia","2010","2010","177397"
"liechtenstein","2010","2010","36276"
"sri lanka","2010","2010","20653000"
"lesotho","2010","2010","2010586"
"lithuania","2010","2010","3097282"
"luxembourg","2010","2010","506953"
"latvia","2010","2010","2097555"
"macao sar, china","2010","2010","534626"
"st. martin (french part)","2010","2010","30235"
"morocco","2010","2010","32107739"
"monaco","2010","2010","36845"
"moldova","2010","2010","3562045"
"madagascar","2010","2010","21079532"
"maldives","2010","2010","332575"
"mexico","2010","2010","118617542"
"marshall islands","2010","2010","52428"
"macedonia, fyr","2010","2010","2062443"
"mali","2010","2010","15167286"
"malta","2010","2010","414508"
"myanmar","2010","2010","51733013"
"montenegro","2010","2010","619428"
"mongolia","2010","2010","2712657"
"northern mariana islands","2010","2010","53860"
"mozambique","2010","2010","24321457"
"mauritania","2010","2010","3591400"
"mauritius","2010","2010","1250400"
"malawi","2010","2010","14769824"
"malaysia","2010","2010","28119500"
"namibia","2010","2010","2193643"
"new caledonia","2010","2010","250000"
"niger","2010","2010","16291990"
"nigeria","2010","2010","159424742"
"nicaragua","2010","2010","5737722"
"netherlands","2010","2010","16615394"
"norway","2010","2010","4889252"
"nepal","2010","2010","26875910"
"new zealand","2010","2010","4350700"
"oman","2010","2010","2943747"
"pakistan","2010","2010","170043918"
"panama","2010","2010","3620506"
"peru","2010","2010","29373644"
"philippines","2010","2010","93038902"
"palau","2010","2010","20470"
"papua new guinea","2010","2010","6847517"
"poland","2010","2010","38042794"
"puerto rico","2010","2010","3721527"
"korea, dem. rep.","2010","2010","24500506"
"portugal","2010","2010","10573100"
"paraguay","2010","2010","6209877"
"french polynesia","2010","2010","268065"
"qatar","2010","2010","1765513"
"romania","2010","2010","20246871"
"russian federation","2010","2010","142849449"
"rwanda","2010","2010","10293669"
"saudi arabia","2010","2010","28090647"
"sudan","2010","2010","36114885"
"senegal","2010","2010","12956791"
"singapore","2010","2010","5076700"
"solomon islands","2010","2010","526177"
"sierra leone","2010","2010","5775902"
"el salvador","2010","2010","6038306"
"san marino","2010","2010","30690"
"somalia","2010","2010","9581714"
"serbia","2010","2010","7291436"
"south sudan","2010","2010","10056475"
"sao tome and principe","2010","2010","170880"
"suriname","2010","2010","518141"
"slovak republic","2010","2010","5391428"
"slovenia","2010","2010","2048583"
"sweden","2010","2010","9378126"
"swaziland","2010","2010","1193148"
